question,answer,type,columns_used,column_types,sample_answer,dataset
What is the primary type of the Pokémon with the highest defense stat?,Poison,category,"['defense', 'type1']","['number[uint8]', 'category']",Poison,051_Pokemon
Which Pokémon has the lowest speed stat?,Shuckle,category,"['speed', 'name']","['number[uint8]', 'category']",Shuckle,051_Pokemon
What secondary type is the most common among legendary Pokémon?,Flying,category,"['legendary', 'type2']","['boolean', 'category']",Flying,051_Pokemon
Which Pokémon has the highest special attack and what is its primary type?,Mega Mewtwo Y (Psychic),category,"['sp_attack', 'name', 'type1']","['number[uint8]', 'category', 'category']",Mega Mewtwo Y (Psychic),051_Pokemon
Name the top 3 Pokémon with the highest total stats.,"['Eternamax Eternatus', 'Mega Mewtwo X', 'Mega Mewtwo Y']",list[category],"['total', 'name']","['number[uint16]', 'category']","['Eternamax Eternatus', 'Mega Mewtwo X', 'Mega Mewtwo Y']",051_Pokemon
Which 5 Pokémon have the lowest hp stats?,"['Shedinja', 'Diglett', 'Alolan Diglett', 'Magikarp', 'Pichu']",list[category],"['hp', 'name']","['number[uint8]', 'category']","['Shedinja', 'Diglett', 'Alolan Diglett', 'Magikarp', 'Pichu']",051_Pokemon
Name the top 4 primary categories that have the most Pokémon.,"['Water', 'Normal', 'Grass', 'Bug']",list[category],['type1'],['category'],"['Water', 'Normal', 'Grass', 'Bug']",051_Pokemon
Which 6 Pokémon from the second generation have the highest attack stats?,"['Mega Heracross', 'Mega Tyranitar', 'Mega Scizor', 'Tyranitar', 'Scizor', 'Ursaring']",list[category],"['generation', 'attack', 'name']","['number[uint8]', 'number[uint8]', 'category']","['Mega Heracross', 'Mega Tyranitar', 'Mega Scizor', 'Tyranitar', 'Scizor', 'Ursaring']",051_Pokemon
What are the top 5 special defense stats in the dataset?,"[250, 230, 200, 160, 160]",list[number],['sp_defense'],['number[uint8]'],"[250, 230, 200, 160, 160]",051_Pokemon
list the bottom 3 defense stats of legendary Pokémon.,"[20, 31, 50]",list[number],"['legendary', 'defense']","['boolean', 'number[uint8]']","[20, 31, 50]",051_Pokemon
What are the 4 highest speed stats of Pokémon in the fourth generation?,"[135, 127, 125, 125]",list[number],"['generation', 'speed']","['number[uint8]', 'number[uint8]']","[135, 127, 125, 125]",051_Pokemon
list the 6 lowest total stats of non-legendary Pokémon.,"[175, 180, 180, 185, 190, 194]",list[number],"['legendary', 'total']","['boolean', 'number[uint16]']","[175, 180, 180, 185, 190, 194]",051_Pokemon
Is the maximum level of Extraversion greater than the maximum level of Agreeableness?,True,boolean,"['Extraversion', 'Agreeableness']","['number[double]', 'number[double]']",True,052_Professional
Is the profession with the highest Openness the same as the profession with the highest Conscientousness?,False,boolean,"['Profession', 'Openness', 'Conscientousness']","['category', 'number[double]', 'number[double]']",False,052_Professional
Does the profession with the lowest Emotional_Range also have the lowest level of Conversation?,False,boolean,"['Profession', 'Emotional_Range', 'Conversation']","['category', 'number[double]', 'number[double]']",False,052_Professional
Is the average level of Openness to Change higher than the average level of Hedonism?,True,boolean,"['Openness to Change', 'Hedonism']","['number[double]', 'number[double]']",True,052_Professional
What is the maximum value of Self-enhancement across all professions?,0.7826336180787501,number,['Self-enhancement'],['number[double]'],0.6291001325102317,052_Professional
How many professions have an Emotional_Range above 0.5?,1002,number,['Emotional_Range'],['number[double]'],18,052_Professional
What is the average Extraversion level for the profession with the highest number of records (n)?,0.373214039767641,number,"['Profession', 'Extraversion', 'n']","['category', 'number[double]', 'number[uint16]']",0.3521943338191243,052_Professional
What is the minimum level of Self-transcendence?,0.0353641396193574,number,['Self-transcendence'],['number[double]'],0.0355792960526332,052_Professional
What profession has the highest level of Conscientiousness?,Policy Officer,category,"['Profession', 'Conscientousness']","['category', 'number[double]']",U.S. Representative,052_Professional
What is the profession with the lowest level of Hedonism?,Governor,category,"['Profession', 'Hedonism']","['category', 'number[double]']",U.S. Representative,052_Professional
Which profession has the highest Emotional_Range?,Mortgage Banker,category,"['Profession', 'Emotional_Range']","['category', 'number[double]']",U.S. Representative,052_Professional
What is the profession with the highest number of records (n)?,Program Manager,category,"['Profession', 'n']","['category', 'number[uint16]']",Data Analyst,052_Professional
What are the top 3 professions with the highest Openness?,"['Book Publisher', 'Bureau Chief', 'Publisher']",list[category],"['Profession', 'Openness']","['category', 'number[double]']","['User Experience Designer (UX Designer)', 'Sustainability Coach', 'Insurance Writer']",052_Professional
Which are the bottom 4 professions in terms of Agreeableness?,"['.Net Architect', 'Android Developer', 'Principal Engineer', 'Game Engineer']",list[category],"['Profession', 'Agreeableness']","['category', 'number[double]']","['Automation Engineer', 'Stock Trader', 'Data Analyst', 'User Experience Designer (UX Designer)']",052_Professional
List the top 5 professions with the highest Conversation levels.,"['Director of Athletics', 'Recruiting Coordinator', 'Athletic Coordinator', 'Director of Personnel', 'Skills Trainer']",list[category],"['Profession', 'Conversation']","['category', 'number[double]']","['U.S. Representative', 'Media Executive', 'Bookkeeper', 'Music Promoter', 'Director of Sales Marketing']",052_Professional
Name the bottom 2 professions in terms of Self-enhancement.,"['U.S. Senator', 'Congressman']",list[category],"['Profession', 'Self-enhancement']","['category', 'number[double]']","['U.S. Representative', 'Examiner']",052_Professional
What are the top 3 values of Openness to Change across all professions?,"[0.7557249985959847, 0.7413189187628788, 0.7034528053640179]",list[number],['Openness to Change'],['number[double]'],"[0.5907415983292473, 0.5853143224995465, 0.5741970926130652]",052_Professional
List the bottom 4 Emotional_Range values.,"[0.1652381569664056, 0.2005428064324122, 0.2215546116855247, 0.2506791678499942]",list[number],['Emotional_Range'],['number[double]'],"[0.3282629326553239, 0.3454430761347227, 0.5168284093531004, 0.5454469457823092]",052_Professional
What are the highest 5 levels of Extraversion?,"[0.9794365922809228, 0.9723660656030668, 0.954299437125917, 0.9362989453985364, 0.9307917067583288]",list[number],['Extraversion'],['number[double]'],"[0.7997301042051191, 0.7874815418605556, 0.786896532913159, 0.7780772474605324, 0.7595518653914357]",052_Professional
Name the lowest 6 levels of Self-transcendence.,"[0.0353641396193574, 0.0355792960526332, 0.0399752446723049, 0.0573280662585624, 0.0591099063085338, 0.0592781792571762]",list[number],['Self-transcendence'],['number[double]'],"[0.0355792960526332, 0.1108088371055385, 0.1436964701751416, 0.1772058461581069, 0.2179965189872425, 0.2289998631350671]",052_Professional
Is there a patent related to 'communication' in the title?,False,boolean,['title'],['text'],True,053_Patents
Are there patents associated with the organization 'IBM'?,False,boolean,['organization'],['category'],False,053_Patents
Is there a patent abstract that mentions 'software'?,True,boolean,['abstract'],['text'],False,053_Patents
Are there patents of the 'design' type?,True,boolean,['type'],['category'],True,053_Patents
How many unique organizations have patents listed?,3574,number,['organization'],['category'],18,053_Patents
"On average, how many claims do the patents have?",14.745974597459746,number,['num_claims'],['number[uint8]'],17.65,053_Patents
What's the highest number of claims a patent has?,100,number,['num_claims'],['number[uint8]'],41,053_Patents
How many patents are of 'utility' type?,8848,number,['type'],['category'],19,053_Patents
Which organization has the patent with the highest number of claims?,Massachusetts Institute of Technology,category,"['organization', 'num_claims']","['category', 'number[uint8]']","Samsung Electronics Co., Ltd.",053_Patents
Which kind of patent is the most common?,B2,category,['kind'],['category'],B2,053_Patents
In which language are the patents written?,en,category,['lang'],['category'],en,053_Patents
Which graphext cluster is the most common among the patents?,"member, portion, body, end",category,['graphext_cluster'],['category'],"video, display, mobile, content",053_Patents
Which are the top 3 organizations with the most patents?,"['International Business Machines Corporation', 'Samsung Electronics Co., Ltd.', 'Google Inc.']",list[category],['organization'],['category'],"['Samsung Electronics Co., Ltd.', 'HYUNDAI MOBIS CO., LTD.', 'Children's Hospital Medical Center']",053_Patents
List the 4 most common types of patents in the dataset.,"['utility', 'design', 'plant', 'reissue']",list[category],['type'],['category'],"['utility', 'design']",053_Patents
Which 5 kinds of patents are the most prevalent?,"['B2', 'S1', 'B1', 'P2', 'P3']",list[category],['kind'],['category'],"['B2', 'S1']",053_Patents
List 2 least common graphext clusters among the patents.,"['habit, plant, foliage, flowers', 'soybean, plant, cultivar, soybean cultivar']",list[category],['graphext_cluster'],['category'],"['+, +1, -based, -based crystal', 'voltage, power, current, circuit']",053_Patents
What are the top 4 numbers of claims in the patents?,"[20, 1, 18, 19]",list[number],['num_claims'],['number[uint8]'],"[12, 18, 7, 13]",053_Patents
List the 3 patents (by ID) with the most number of claims.,"[9479771.0, 9325365.0, 9323284.0]",list[number],"['id', 'num_claims']","['number[UInt32]', 'number[uint8]']","[9479911.0, 9323438.0, 9480043.0]",053_Patents
Which 5 patents (by ID) have the most targets associated?,"[29, 30, 46, 51, 70]",list[number],"['id', 'target']","['number[UInt32]', 'list[number[uint16]]']","[932136912.0, 9480043.0, 9323438.0, 9246982.0, 9323057.0]",053_Patents
List the 6 most recent patents by their ID.,"[9479476.0, 9479477.0, 9479478.0, 9479479.0, 9479480.0, 9479481.0]",list[number],"['id', 'date']","['number[UInt32]', 'date[ns', 'UTC]']","[9480043.0, 9479911.0, 9480049.0, 9321442.0, 9323438.0, 9324689.0]",053_Patents
Has the author with the highest number of followers ever been verified?,True,boolean,"['author_id<gx:category>', 'user_followers_count<gx:number>', 'user_verified<gx:boolean>']","['number[uint32]', 'number[uint32]', 'boolean']",True,054_Joe
Is the author who has the most favourites also the one with the most retweets?,False,boolean,"['author_id<gx:category>', 'user_favourites_count<gx:number>', 'retweets<gx:number>']","['number[uint32]', 'number[uint8]', 'number[uint8]']",True,054_Joe
Is the most mentioned user also the most retweeted user?,False,boolean,"['author_id<gx:category>', 'mention_names<gx:list[category]>', 'retweets<gx:number>']","['number[uint32]', 'list[category]']",False,054_Joe
Does the author with the most retweets also have the most replies?,True,boolean,"['author_id<gx:category>', 'retweets<gx:number>', 'replies<gx:number>']","['number[uint32]', 'number[uint32]', 'number[uint16]']",True,054_Joe
What is the maximum number of followers an author in the dataset has?,0.7826336180787501,number,['user_followers_count<gx:number>'],['number[uint32]'],30308043,054_Joe
"How many authors have more than 10,000 favourites?",1002,number,['user_favourites_count<gx:number>'],['number[uint8]'],0,054_Joe
How many retweets does the most retweeted tweet have?,0.373214039767641,number,['retweets<gx:number>'],['number[uint32]'],50625,054_Joe
How many times has the most mentioned user been mentioned?,0.0353641396193574,number,['mention_names<gx:list[category]>'],['list[category]'],16,054_Joe
Who is the author with the most followers?,Policy Officer,category,"['author_name<gx:category>', 'user_followers_count<gx:number>']","['category', 'number[uint32]']",Joe Biden,054_Joe
Who is the author with the highest number of favourites?,Governor,category,"['author_name<gx:category>', 'user_favourites_count<gx:number>']","['category', 'number[uint8]']",Joe Biden,054_Joe
What is the name of the user who is most often mentioned?,Mortgage Banker,category,"['author_name<gx:category>', 'mention_names<gx:list[category]>']","['category', 'list[category]']",[],054_Joe
Who is the author of the tweet with the most retweets?,Program Manager,category,"['author_name<gx:category>', 'retweets<gx:number>']","['category', 'number[uint32]']",Joe Biden,054_Joe
Who are the top 3 authors with the most followers?,"['Book Publisher', 'Bureau Chief', 'Publisher']",list[category],"['author_name<gx:category>', 'user_followers_count<gx:number>']","['category', 'number[uint32]']","['Joe Biden', 'Joe Biden', 'Joe Biden']",054_Joe
Who are the top 4 authors with the most favourites?,"['.Net Architect', 'Android Developer', 'Principal Engineer', 'Game Engineer']",list[category],"['author_name<gx:category>', 'user_favourites_count<gx:number>']","['category', 'number[uint8]']","['Joe Biden', 'Joe Biden', 'Joe Biden', 'Joe Biden']",054_Joe
Who are the 5 users who are mentioned the most often?,"['Director of Athletics', 'Recruiting Coordinator', 'Athletic Coordinator', 'Director of Personnel', 'Skills Trainer']",list[category],"['author_name<gx:category>', 'mention_names<gx:list[category]>']","['category', 'list[category]']","['[]', '[305818748]', '[282721598]', '[21829541]', '[50348682]']",054_Joe
Who are the top 2 authors of the tweets with the most retweets?,"['U.S. Senator', 'Congressman']",list[category],"['author_name<gx:category>', 'retweets<gx:number>']","['category', 'number[uint32]']","['Joe Biden', 'Joe Biden']",054_Joe
What are the top 3 numbers of followers in the dataset?,"[0.7557249985959847, 0.7413189187628788, 0.7034528053640179]",list[number],['user_followers_count<gx:number>'],['number[uint32]'],"[30212707, 30212712, 30212708]",054_Joe
What are the top 4 numbers of favourites an author in the dataset has?,"[0.1652381569664056, 0.2005428064324122, 0.2215546116855247, 0.2506791678499942]",list[number],['user_favourites_count<gx:number>'],['number[uint8]'],[20],054_Joe
What are the 5 highest numbers of times a user is mentioned?,"[0.9794365922809228, 0.9723660656030668, 0.954299437125917, 0.9362989453985364, 0.9307917067583288]",list[number],['mention_names<gx:list[category]>'],['list[category]'],"[16, 1, 1, 1, 1]",054_Joe
What are the 2 highest numbers of retweets a tweet in the dataset has?,"[0.0353641396193574, 0.0355792960526332]",list[number],['retweets<gx:number>'],['number[uint32]'],"[399, 6866]",054_Joe
Is the borrower with the highest loan amount also the one with the longest loan duration?,False,boolean,"['Loan Amount', 'Loan Duration - Months']","['number[uint16]', 'number[uint8]']",False,055_German
Does the borrower with the maximum number of existing loans also have the highest loan amount?,False,boolean,"['Number of Existing Loans', 'Loan Amount']","['number[uint8]', 'number[uint16]']",True,055_German
Does the borrower with the longest loan duration also have the maximum number of existing loans?,False,boolean,"['Loan Duration - Months', 'Number of Existing Loans']","['number[uint8]', 'number[uint8]']",False,055_German
Does the oldest borrower also have the highest loan amount?,False,boolean,"['Age', 'Loan Amount']","['number[uint8]', 'number[uint16]']",False,055_German
What is the highest loan amount in the dataset?,18424,number,['Loan Amount'],['number[uint16]'],8613,055_German
How many borrowers have more than 1 existing loan?,367,number,['Number of Existing Loans'],['number[uint8]'],7,055_German
What is the longest loan duration in the dataset?,72,number,['Loan Duration - Months'],['number[uint8]'],60,055_German
How many borrowers are older than 50?,113,number,['Age'],['number[uint8]'],2,055_German
What is the most common purpose of loans?,Radio/TV,category,['Purpose of Loan'],['category'],Radio/TV,055_German
What is the most common job category for borrowers?,Skilled,category,['Job'],['category'],Skilled,055_German
What is the most common credit history category for borrowers?,Existing Credits Paid Back Duly Till Now,category,['Credit History'],['category'],Existing Credits Paid Back Duly Till Now,055_German
What is the most common savings account status for borrowers?,Less than 100 DM,category,['Savings Account'],['category'],Less than 100 DM,055_German
What are the top 3 jobs of borrowers with the highest loan amount?,"['Highly Skilled', 'Skilled', 'Highly Skilled']",list[category],"['Loan Amount', 'Job']","['number[uint16]', 'category']","['Skilled', 'Skilled', 'Highly Skilled']",055_German
What are the top 4 jobs of borrowers with the longest loan duration?,"['Skilled', 'Skilled', 'Skilled', 'Unskilled - Resident']",list[category],"['Loan Duration - Months', 'Job']","['number[uint8]', 'category']","['Skilled', 'Skilled', 'Skilled', 'Highly Skilled']",055_German
What are the 5 jobs of borrowers with the maximum number of existing loans?,"['Skilled', 'Skilled', 'Unskilled - Resident', 'Highly Skilled', 'Skilled']",list[category],"['Number of Existing Loans', 'Job']","['number[uint8]', 'category']","['Highly Skilled', 'Skilled', 'Skilled', 'Skilled', 'Unemployed / Unskilled  - Non-Resident']",055_German
What are the jobs of the oldest 2 borrowers?,"['Highly Skilled', 'Highly Skilled']",list[category],"['Age', 'Job']","['number[uint8]', 'category']","['Unemployed / Unskilled  - Non-Resident', 'Unskilled - Resident']",055_German
What are the top 3 loan amounts in the dataset?,"[18424, 15945, 15857]",list[number],['Loan Amount'],['number[uint16]'],"[3190, 4380, 2124]",055_German
What are the top 4 loan durations in the dataset?,"[72, 60, 60, 60]",list[number],['Loan Duration - Months'],['number[uint8]'],"[18, 24, 12, 6]",055_German
What are the 5 maximum numbers of existing loans among borrowers?,"[4, 4, 4, 4, 4]",list[number],['Number of Existing Loans'],['number[uint8]'],"[1, 2]",055_German
What are the ages of the top 2 oldest borrowers?,"[75, 75]",list[number],['Age'],['number[uint8]'],"[65, 64]",055_German
Are there any foods with zero calories?,False,boolean,['Calories (kcal)'],['number[double]'],False,056_Emoji
Do all foods contain sugar?,False,boolean,['Total Sugar (g)'],['number[double]'],False,056_Emoji
Are there any foods that contain no fat at all?,True,boolean,['Total Fat (g)'],['number[double]'],False,056_Emoji
Are there foods that do not contain protein?,True,boolean,['Protein (g)'],['number[double]'],False,056_Emoji
How many foods have more than 500 kcal?,0,number,['Calories (kcal)'],['number[double]'],0,056_Emoji
What is the average amount of total fat (in grams) across all foods?,0.08465,number,['Total Fat (g)'],['number[double]'],0.06386499999999999,056_Emoji
How many foods have a sodium content of more than 1 gram?,18,number,['Sodium (g)'],['number[double]'],5,056_Emoji
What's the highest amount of protein (in grams) found in a food item?,0.2748,number,['Protein (g)'],['number[double]'],0.2403,056_Emoji
What food has the highest calorie content?,bacon,category,"['Calories (kcal)', 'name']","['number[double]', 'category']",chocolate bar,056_Emoji
Which food contains the most sugar?,honey,category,"['Total Sugar (g)', 'name']","['number[double]', 'category']",chocolate bar,056_Emoji
What is the food with the least amount of total fat?,honey,category,"['Total Fat (g)', 'name']","['number[double]', 'category']",pineapple,056_Emoji
Which food has the highest amount of protein?,beef,category,"['Protein (g)', 'name']","['number[double]', 'category']",chicken,056_Emoji
List the top 5 foods with the most calories.,"['bacon', 'peanuts', 'chocolate bar', 'popcorn', 'cookie']",list[category],"['Calories (kcal)', 'name']","['number[double]', 'category']","[chocolate bar, cookie, french fries, bread, hotdog]",056_Emoji
Identify the top 3 foods with the least amount of sugar.,"['chestnut', 'pancakes', 'cheese']",list[category],"['Total Sugar (g)', 'name']","['number[double]', 'category']","[milk, cookie, hotdog]",056_Emoji
Enumerate the 4 foods with the most total fat.,"['bacon', 'peanuts', 'cheese', 'popcorn']",list[category],"['Total Fat (g)', 'name']","['number[double]', 'category']","[chocolate bar, cookie, hotdog, french fries]",056_Emoji
Name the 6 foods with the least amount of protein.,"['candy', 'black tea', 'bacon', 'champagne', 'red wine', 'red apple']",list[category],"['Protein (g)', 'name']","['number[double]', 'category']","[green apple, pineapple, strawberry, grapes, tangerine, banana]",056_Emoji
List the 5 highest calorie counts found in the dataset.,"[8.98, 5.67, 5.18, 5.0, 4.97]",list[number],['Calories (kcal)'],['number[double]'],"[5.18, 4.97, 3.12, 2.74, 2.47]",056_Emoji
What are the 3 lowest amounts of sugar found among the foods?,"[0.0, 0.0, 0.0]",list[number],['Total Sugar (g)'],['number[double]'],"[0.0, 0.0, 0.0]",056_Emoji
Enumerate the 4 highest amounts of total fat found in the foods.,"[0.995, 0.4924, 0.3099, 0.281]",list[number],['Total Fat (g)'],['number[double]'],"[0.2599, 0.252, 0.1484, 0.1473]",056_Emoji
What are the top 6 lowest amounts of protein found in the dataset?,"[0.0, 0.0, 0.0007, 0.0007, 0.0007, 0.002]",list[number],['Protein (g)'],['number[double]'],"[0.0044, 0.0054, 0.0067, 0.0072, 0.0081, 0.0109]",056_Emoji
Are there any respondents who didn't complete primary education?,True,boolean,['edu'],['category'],False,057_Spain
Are all respondents interested in politics?,False,boolean,['polInterest'],['category'],False,057_Spain
Did any respondent indicate that they will not vote?,True,boolean,['Vote Intention'],['list[category]'],False,057_Spain
Did any respondent place themselves at the extreme right of the Left-Right economic values axis?,True,boolean,['User self-placement on Left-Right economic values axis'],['number[UInt8]'],False,057_Spain
How many respondents placed themselves at 10 on the Progressive-Conservative economic values axis?,372,number,['User self- placement on Progressive-Conservative economic values axis'],['number[UInt8]'],0,057_Spain
What is the average age of the respondents?,37.420120593188116,number,['Age'],['number[UInt8]'],38.72222222222222,057_Spain
How many respondents think it should be more difficult for companies to lay off workers?,10344,number,['It should be more difficult for companies to lay off workers'],['number[UInt8]'],0,057_Spain
What's the maximum age among the respondents who prefer not to disclose their gender?,105.0,number,"['Age', 'gender']","['number[UInt8]', 'category']",,057_Spain
Which is the most common vote intention among respondents?,[Ciudadanos],category,['Vote Intention'],['list[category]'],[Ciudadanos],057_Spain
What is the most common reason for voting given by respondents?,The party ideas are close to my own,category,['voteReason'],['category'],The party ideas are close to my own,057_Spain
Which is the most common party identification among respondents?,Ciudadanos,category,['partyId'],['category'],Ciudadanos,057_Spain
What is the most common first language among respondents?,Castellano,category,['lang'],['category'],Castellano,057_Spain
List the top 5 most common vote intentions among respondents.,"['[Ciudadanos]', '[]', '[I am undeceided]', '[Podemos]', '[PP]']",list[category],['Vote Intention'],['list[category]'],"[Ciudadanos, I prefer not to say, [], I am undeceided, Podemos]",057_Spain
Identify the top 3 most common reasons for voting among respondents.,"['The party ideas are close to my own', 'The party is the most competent', 'I prefer not to say']",list[category],['voteReason'],['category'],"[The party ideas are close to my own, The party is the most competent, I prefer not to say]",057_Spain
Enumerate the top 4 most common party identifications among respondents.,"['Ciudadanos', 'PP', 'I prefer not to say', 'Podemos']",list[category],['partyId'],['category'],"[Ciudadanos, I prefer not to say, PSOE, PP]",057_Spain
Name the top 6 most common first languages among respondents.,"['Castellano', 'Catal�', 'Galego', 'Euskara']",list[category],['lang'],['category'],[Castellano],057_Spain
List the top 5 most common ages among respondents.,"[38.0, 23.0, 39.0, 25.0, 35.0]",list[number],['Age'],['number[UInt8]'],"[33.0, 38.0, 22.0, 55.0, 37.0]",057_Spain
What are the top 3 most common positions on the Left-Right economic values axis?,"[5.0, 3.0, 6.0]",list[number],['User self-placement on Left-Right economic values axis'],['number[UInt8]'],"[5.0, 6.0, 3.0]",057_Spain
Enumerate the top 4 most common positions on the Progressive-Conservative economic values axis.,"[5.0, 3.0, 4.0, 0.0]",list[number],['User self- placement on Progressive-Conservative economic values axis'],['number[UInt8]'],"[5.0, 3.0, 0.0, 4.0]",057_Spain
What are the top 6 most common positions on the 'Constitutional organisation of the country (More Descentralization)' scale?,"[2.0, 3.0, 4.0, 1.0, 5.0]",list[number],['Constitutional organisation of the country (More Descentralization)'],['number[UInt8]'],"[2.0, 4.0, 3.0]",057_Spain
Are there survey participants who are not registered to vote?,True,boolean,['Are you registered to vote?'],['category'],True,058_US
Are there any respondents who participated in the 2016 Presidential election (four years ago) but are not planning to do so in the upcoming election?,True,boolean,"['Did you vote in the 2016 Presidential election? (Four years ago)', 'How likely are you to vote in the forthcoming US Presidential election? Early Voting Open']","['category', 'category']",True,058_US
Do we have any respondents in the dataset who didn't participate in the 2016 Presidential election (four years ago) but intend to do so in the upcoming election?,True,boolean,"['Did you vote in the 2016 Presidential election? (Four years ago)', 'How likely are you to vote in the forthcoming US Presidential election? Early Voting Open']","['category', 'category']",True,058_US
Do we have respondents who have shifted their voting preference from the 2016 election (four years ago) to the upcoming one?,True,boolean,"['Who did you vote for in the 2016 Presidential election? (Four years ago)', 'Who are you most likely to vote for on election day?']","['category', 'category']",True,058_US
How many respondents in the survey are eligible to vote?,1315,number,['Are you registered to vote?'],['category'],11,058_US
What is the count of respondents who are leaning towards voting for Joe Biden in the upcoming election?,799,number,['Who are you most likely to vote for on election day?'],['category'],0,058_US
How many respondents have a high school degree or less as their highest level of education?,0,number,['What is the highest degree or level of school you have *completed* ?'],['category'],0,058_US
How many respondents are from the region adjacent to the South Atlantic Ocean?,774,number,['Division'],['category'],0,058_US
What is the most frequent age group among the respondents?,65+,category,['How old are you?'],['category'],25-34,058_US
Who is the preferred choice among the respondents for the upcoming election?,Donald Trump (Republican),category,['Who are you most likely to vote for on election day?'],['category'],Joe Biden (Democrat),058_US
What is the most commonly achieved educational level among the respondents?,"Some college, no degree",category,['What is the highest degree or level of school you have *completed* ?'],['category'],High school graduate (includes equivalency),058_US
Which geographical division has the greatest representation among the respondents?,South Atlantic,category,['Division'],['category'],South Atlantic,058_US
Identify the top 5 states with the greatest number of respondents.,"['CA', 'TX', 'NY', 'FL', 'GA']",list[category],['State'],['category'],"['MI', 'GA', 'AL', 'CA', 'TX']",058_US
Enumerate the top 4 most common professions among the respondents.,"['Other', 'Healthcare', 'Office worker or other professional', 'Industrial (e.g. construction, manufacturing, maintenance and repair)']",list[category],['Which of these best describes the kind of work you do?'],['category'],"['Education and training', 'Office worker or other professional', 'Industrial (e.g. construction, manufacturing, maintenance and repair)', 'Healthcare']",058_US
Identify the top 3 ethnic groups with the most representation among the respondents.,"['White (not Hispanic, Latino or Spanish origin)', 'Black or African American (not Hispanic, Latino or Spanish origin)', 'Hispanic, Latino or Spanish origin']",list[category],['Which of the following best describes your ethnic heritage?'],['category'],"['White (not Hispanic, Latino or Spanish origin)', 'Black or African American (not Hispanic, Latino or Spanish origin)', 'Asian']",058_US
Enumerate the top 6 most represented age groups among the respondents.,"['65+', '55-64', '45-54', '35-44', '18-24', '25-34']",list[category],['How old are you?'],['category'],"['25-34', '55-64', '65+', '35-44', '18-24', '45-54']",058_US
Identify the top 3 counties (using FIPS codes) with the greatest number of respondents.,"[6037, 13121, 48201]",list[number],['County FIPS'],['number[uint16]'],"[13135, 29189, 13095]",058_US
Enumerate the highest 4 unique weight values in the dataset.,"[0.8085780015111617, 0.7742084493732905, 0.3063435812288158, 0.629527660735561]",list[number],['Weight'],['number[double]'],"[4.871233760276248, 0.8475708375044543, 0.7854647440023211, 0.941364535331836]",058_US
List the top 5 urban/rural categories (using NCHS codes) with the greatest number of respondents.,"[1, 2, 3, 4, 5]",list[number],['NCHS Urban/rural'],['number[uint8]'],"[1, 2, 5, 3, 6]",058_US
Enumerate the top 6 most common likelihood values among the respondents.,"[10.0, 11.0, 0.0, 1.0, 9.0, 5.0]",list[number],['likelihood'],['number[UInt8]'],"[10.0, 11.0, 1.0, 2.0, 6.0, 7.0]",058_US
Is there a car model named 'Golf' listed?,False,boolean,['model'],['category'],False,059_Second
Are there cars associated with the dealer 'Autos Raymara'?,True,boolean,['dealer'],['category'],False,059_Second
Is there a car version that mentions 'BMW'?,True,boolean,['version'],['text'],True,059_Second
Are there cars with a 'Manual' shift?,True,boolean,['shift'],['category'],True,059_Second
How many unique car models are listed?,940,number,['model'],['category'],19,059_Second
"On average, how many photos are provided for the cars?",16.19912,number,['photos'],['number[uint8]'],19.1,059_Second
What's the highest price a car is listed for?,549900,number,['price'],['number[uint32]'],61990,059_Second
How many cars are from the year 2020?,4237,number,['year'],['number[UInt16]'],3,059_Second
Which dealer has the car with the highest price listed?,Supergarage,category,"['dealer', 'price']","['category', 'number[uint32]']",automotorDURSAN.com A,059_Second
Which car make is the most common?,VOLKSWAGEN,category,['make'],['category'],BMW,059_Second
What type of fuel is the most common for the cars?,Diésel,category,['fuel'],['category'],Diésel,059_Second
In which province are the most cars located?,Madrid,category,['province'],['category'],Madrid,059_Second
Which are the top 3 provinces with the most car listings?,"['Madrid', 'Barcelona', 'Valencia']",list[category],['province'],['category'],"['Madrid', 'Palencia', 'Málaga']",059_Second
List the 4 most common car colors in the dataset.,"['Blanco', 'Gris / Plata', 'Negro', 'Azul']",list[category],['color'],['category'],"['Gris / Plata', 'Negro', 'Azul', 'Gris / Plata (gris)']",059_Second
Which 5 car makes are the most prevalent?,"['VOLKSWAGEN', 'BMW', 'MERCEDES-BENZ', 'AUDI', 'PEUGEOT']",list[category],['make'],['category'],"['MERCEDES-BENZ', 'BMW', 'SEAT', 'AUDI', 'HONDA']",059_Second
List the 2 least common fuels used in the cars.,"['Gas natural (CNG)', 'Gas licuado (GLP)']",list[category],['fuel'],['category'],"['Híbrido', 'Eléctrico']",059_Second
What are the top 4 most common years of the cars?,"[2016.0, 2017.0, 2019.0, 2020.0]",list[number],['year'],['number[UInt16]'],"[2016.0, 2020.0, 2007.0, 2018.0]",059_Second
List the 3 highest mileages present.,"[5000000, 4000006, 3500000]",list[number],['kms'],['number[uint32]'],"['370000', '300000', '254000']",059_Second
Which 5 cars have the most photos associated?,"[54, 54, 54, 54, 54]",list[number],['photos'],['number[uint8]'],"[54, 44, 40, 32, 29]",059_Second
List the 6 cars with the most power.,"[800.0, 800.0, 796.0, 772.0, 720.0, 720.0]",list[number],['power'],['number[UInt16]'],"[258.0, 258.0, 218.0, 182.0, 180.0]",059_Second
Are all transactions unique?,True,boolean,['Transaction'],['number[uint16]'],True,060_Bakery
Is there any transaction that took place during the night?,True,boolean,['period_day'],['category'],False,060_Bakery
